bbl,address,borough,unitsres,rs_units,yearbuilt,bldgclass,wow_link
1018420022,19 WEST 106 STREET,MN,16,0,1920,C6,https://whoownswhat.justfix.org/bbl/1018420022
1013280020,237 EAST 54 STREET,MN,16,0,1900,C6,https://whoownswhat.justfix.org/bbl/1013280020
1014280035,232 EAST 74 STREET,MN,22,0,1920,C5,https://whoownswhat.justfix.org/bbl/1014280035
1013250024,963 2 AVENUE,MN,191,0,1960,D4,https://whoownswhat.justfix.org/bbl/1013250024
3018920061,98 GRAND AVENUE,BK,25,0,1946,C1,https://whoownswhat.justfix.org/bbl/3018920061
2030900004,2408 CAMBRELENG AVENUE,BX,22,0,1912,C1,https://whoownswhat.justfix.org/bbl/2030900004
4161880012,187 BEACH 115 STREET,QN,30,0,1929,C5,https://whoownswhat.justfix.org/bbl/4161880012
3024250014,390 SOUTH 2 STREET,BK,19,0,1930,D1,https://whoownswhat.justfix.org/bbl/3024250014
4120930020,138-10 135 AVENUE,QN,335,0,1959,H3,https://whoownswhat.justfix.org/bbl/4120930020
3021590001,475 KENT AVENUE,BK,98,0,1911,D7,https://whoownswhat.justfix.org/bbl/3021590001
3044640125,2645 A LINDEN BOULEVARD,BK,16,0,1957,M3,https://whoownswhat.justfix.org/bbl/3044640125
2028070027,1975 CRESTON AVENUE,BX,40,0,1920,C1,https://whoownswhat.justfix.org/bbl/2028070027
1004060058,513 EAST 12 STREET,MN,16,0,1900,C7,https://whoownswhat.justfix.org/bbl/1004060058
1003890021,206 EAST 7 STREET,MN,19,0,1900,C6,https://whoownswhat.justfix.org/bbl/1003890021
1019140026,109 WEST 129 STREET,MN,59,0,1910,D1,https://whoownswhat.justfix.org/bbl/1019140026
4012670046,34-47 80 STREET,QN,11,0,1922,D4,https://whoownswhat.justfix.org/bbl/4012670046
3024720400,99 COMMERCIAL STREET,BK,21,0,1931,C7,https://whoownswhat.justfix.org/bbl/3024720400
1014130004,891 PARK AVENUE,MN,15,0,1931,D4,https://whoownswhat.justfix.org/bbl/1014130004
3032590053,295 STANHOPE STREET,BK,20,0,1931,C1,https://whoownswhat.justfix.org/bbl/3032590053
2055070001,SILVER BEACH,BX,40,0,1921,A8,https://whoownswhat.justfix.org/bbl/2055070001
3056380019,926 49 STREET,BK,98,0,1960,D7,https://whoownswhat.justfix.org/bbl/3056380019
1013090008,125 EAST 54 STREET,MN,64,0,1977,D6,https://whoownswhat.justfix.org/bbl/1013090008
1015850035,536 EAST 89 STREET,MN,25,0,1900,C1,https://whoownswhat.justfix.org/bbl/1015850035
1012350033,568 AMSTERDAM AVENUE,MN,12,0,1905,C7,https://whoownswhat.justfix.org/bbl/1012350033
3022750101,48 WHIPPLE STREET,BK,28,0,1959,D4,https://whoownswhat.justfix.org/bbl/3022750101
1005670019,40 UNIVERSITY PLACE,MN,74,0,1926,D4,https://whoownswhat.justfix.org/bbl/1005670019
1008940052,150 EAST 39 STREET,MN,135,0,1928,D7,https://whoownswhat.justfix.org/bbl/1008940052
1014580046,1164 1 AVENUE,MN,16,0,1910,C7,https://whoownswhat.justfix.org/bbl/1014580046
1001780025,13 WHITE STREET,MN,24,0,1868,D4,https://whoownswhat.justfix.org/bbl/1001780025
1021080073,499 WEST 158 STREET,MN,26,0,1907,C6,https://whoownswhat.justfix.org/bbl/1021080073
1014530021,353 EAST 78 STREET,MN,65,0,1986,D6,https://whoownswhat.justfix.org/bbl/1014530021
3076170017,1155 EAST 35 STREET,BK,38,0,1928,C1,https://whoownswhat.justfix.org/bbl/3076170017
3012180005,1387 BEDFORD AVENUE,BK,18,0,1900,C1,https://whoownswhat.justfix.org/bbl/3012180005
2027840020,1433 TELLER AVENUE,BX,19,0,1920,C1,https://whoownswhat.justfix.org/bbl/2027840020
1015470042,322 EAST 85 STREET,MN,15,0,1905,C6,https://whoownswhat.justfix.org/bbl/1015470042
3053560042,403 AVENUE C,BK,72,0,1915,D4,https://whoownswhat.justfix.org/bbl/3053560042
1014280040,218 EAST 74 STREET,MN,15,0,1910,C4,https://whoownswhat.justfix.org/bbl/1014280040
1001440001,16 HUDSON STREET,MN,25,0,1915,D4,https://whoownswhat.justfix.org/bbl/1001440001
